Date,Frag.ID,Mass.g,Temp.C,Days,TimePoint,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,X,Clade
3/21/17,1144,5.57,24.68,0,Time0,358,Ambient,Pavona_varians,T1,4.8,8,,C1
3/21/17,N104,3.431,24.32,0,Time0,310,Ambient,Pocillopora_acuta,T1,4,8,,CCC
3/21/17,N192,3.01,24.5,0,Time0,373,Ambient,Montipora_capitata,T1,5.3,8,,C
3/21/17,N197,3.441,24.73,0,Time0,309,Ambient,Pocillopora_acuta,T1,5.5,8,,C42
3/21/17,N222,6.566,25.32,0,Time0,356,Ambient,Pavona_varians,T1,5,8,,C1
3/21/17,N78,3.502,24.23,0,Time0,324,Ambient,Porites_compressa,T1,0.8,8,,C15n
3/21/17,N92,2.076,24.35,0,Time0,368,Ambient,Montipora_capitata,T1,3.7,8,,CD
3/21/17,422,3.219,24.4,0,Time0,357,Ambient,Pavona_varians,TF,4.7,8,,C27
3/21/17,2214,9.563,24.2,0,Time0,351,Ambient,Pavona_varians,TF,4.6,8,,C27
3/21/17,2226,3.646,24.03,0,Time0,312,Ambient,Pocillopora_acuta,TF,5.8,8,,CCC
3/21/17,3164,2.127,24.17,0,Time0,303,Ambient,Pocillopora_acuta,TF,4.9,8,,CCC
3/21/17,3442,4.931,25.13,0,Time0,318,Ambient,Porites_compressa,TF,2.1,8,,C15n
3/21/17,N152,6.282,24.62,0,Time0,374,Ambient,Montipora_capitata,TF,3.2,8,,CD
3/21/17,N208,1.874,25.27,0,Time0,367,Ambient,Montipora_capitata,TF,5.8,8,,C
3/21/17,N211,3.677,24.78,0,Time0,316,Ambient,Porites_compressa,TF,2,8,,C15n
3/21/17,N217,3.705,25.47,0,Time0,361,Ambient,Pavona_varians,TF,6.8,8,,C1
3/21/17,N223,1.622,25.35,0,Time0,371,Ambient,Montipora_capitata,TF,3.4,8,,C
3/21/17,153,5.123,26.86,0,Time0,371,Ambient,Montipora_capitata,T1,3.4,9,,C
3/21/17,3035,2.081,26.22,0,Time0,303,Ambient,Pocillopora_acuta,T1,4.9,9,,CCC
3/21/17,N108,3.085,26.58,0,Time0,353,Ambient,Pavona_varians,T1,3.6,9,,C1
3/21/17,N181,3.88,26.37,0,Time0,316,Ambient,Porites_compressa,T1,2,9,,C15n
3/21/17,N184,1.532,26.76,0,Time0,363,Ambient,Montipora_capitata,T1,5.4,9,,C
3/21/17,N198,3.606,26.32,0,Time0,305,Ambient,Pocillopora_acuta,T1,6.1,9,,C42
3/21/17,403,5.152,26.78,0,Time0,309,Ambient,Pocillopora_acuta,TF,5.5,9,,C42
3/21/17,471,4.103,26.49,0,Time0,356,Ambient,Pavona_varians,TF,5,9,,C1
3/21/17,579,8.729,266.24,0,Time0,323,Ambient,Porites_compressa,TF,1,9,,C15n
3/21/17,779,3.072,26.09,0,Time0,306,Ambient,Pocillopora_acuta,TF,6.1,9,,CCC
3/21/17,955,9.476,26.62,0,Time0,325,Ambient,Pavona_varians,TF,2.6,9,,C1
3/21/17,1037,4.506,26.2,0,Time0,358,Ambient,Pavona_varians,TF,4.8,9,,C1
3/21/17,1226,1.576,26.4,0,Time0,370,Ambient,Montipora_capitata,TF,3.7,9,,C
3/21/17,N132,5.125,26.67,0,Time0,308,Ambient,Pocillopora_acuta,TF,6.7,9,,CCC
3/21/17,N96,2.823,26.55,0,Time0,368,Ambient,Montipora_capitata,TF,3.7,9,,CD
