Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"2,386",Disabled,Disabled,"689,015.812500","7,149,664.000000","455,598.0","8,111,574.5",Disabled,Disabled,"127.521375%","28.603521%","17.805970"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C2,Default,BL3-H vs Count,R1,BL3-H,Count,"239",Disabled,Disabled,"5,010,715.500000","---","5,591,474.0","---",Disabled,Disabled,"25.856859%","---","1.783582"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C3,Default,Global,All Events,Global,Global,"6,830",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","50.970149"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C3,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,129",Disabled,Disabled,"1,113,616.625000","6,027,602.000000","701,966.0","6,849,434.0",Disabled,Disabled,"108.967269%","42.312561%","8.425373"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C3,Default,BL3-H vs Count,R1,BL3-H,Count,"288",Disabled,Disabled,"5,084,178.500000","---","5,418,525.0","---",Disabled,Disabled,"20.701508%","---","2.149254"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C4,Default,Global,All Events,Global,Global,"6,225",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","46.455224"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C4,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"407",Disabled,Disabled,"1,966,155.875000","5,752,818.500000","1,391,164.0","7,828,125.0",Disabled,Disabled,"77.469678%","56.565638%","3.037313"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C4,Default,BL3-H vs Count,R1,BL3-H,Count,"62",Disabled,Disabled,"4,011,873.250000","---","4,062,754.0","---",Disabled,Disabled,"34.660831%","---","0.462687"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C5,Default,Global,All Events,Global,Global,"26,368",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","196.776119"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C5,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,711",Disabled,Disabled,"1,109,951.125000","5,928,578.000000","525,106.0","7,589,294.0",Disabled,Disabled,"120.583147%","51.285591%","27.694030"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C5,Default,BL3-H vs Count,R1,BL3-H,Count,"513",Disabled,Disabled,"4,886,249.000000","---","5,408,049.0","---",Disabled,Disabled,"26.476828%","---","3.828358"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C6,Default,Global,All Events,Global,Global,"12,375",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","91.666667"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C6,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,681",Disabled,Disabled,"975,083.437500","6,367,744.500000","547,244.0","7,580,506.0",Disabled,Disabled,"123.962622%","41.576252%","12.451852"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C6,Default,BL3-H vs Count,R1,BL3-H,Count,"297",Disabled,Disabled,"4,885,686.500000","---","5,355,912.0","---",Disabled,Disabled,"25.130660%","---","2.200000"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C7,Default,Global,All Events,Global,Global,"5,969",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","44.214815"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C7,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,260",Disabled,Disabled,"1,013,478.875000","3,690,911.000000","685,745.5","3,776,819.5",Disabled,Disabled,"113.066392%","53.819565%","9.333333"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C7,Default,BL3-H vs Count,R1,BL3-H,Count,"923",Disabled,Disabled,"4,160,474.250000","---","4,085,308.0","---",Disabled,Disabled,"25.478457%","---","6.837037"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C8,Default,Global,All Events,Global,Global,"25,052",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","186.955224"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C8,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,006",Disabled,Disabled,"1,197,097.875000","6,134,780.500000","624,358.5","8,094,143.5",Disabled,Disabled,"112.672470%","50.647289%","22.432836"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C8,Default,BL3-H vs Count,R1,BL3-H,Count,"348",Disabled,Disabled,"4,451,030.000000","---","4,773,877.0","---",Disabled,Disabled,"30.972165%","---","2.597015"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C9,Default,Global,All Events,Global,Global,"4,659",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","34.768657"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C9,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,200",Disabled,Disabled,"1,419,506.250000","5,398,327.500000","996,150.0","6,357,287.0",Disabled,Disabled,"94.074533%","50.823964%","8.955224"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C9,Default,BL3-H vs Count,R1,BL3-H,Count,"409",Disabled,Disabled,"4,953,840.000000","---","5,346,067.0","---",Disabled,Disabled,"23.566897%","---","3.052239"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C10,Default,Global,All Events,Global,Global,"12,165",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","90.111111"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C10,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"941",Disabled,Disabled,"1,399,628.250000","5,324,262.000000","918,057.0","6,569,393.0",Disabled,Disabled,"97.676749%","56.988039%","6.970370"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C10,Default,BL3-H vs Count,R1,BL3-H,Count,"275",Disabled,Disabled,"4,388,472.500000","---","4,503,124.0","---",Disabled,Disabled,"28.204407%","---","2.037037"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C11,Default,Global,All Events,Global,Global,"3,747",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","27.962687"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C11,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"494",Disabled,Disabled,"1,421,055.750000","4,924,923.500000","893,158.5","5,394,023.5",Disabled,Disabled,"97.238717%","52.540847%","3.686567"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C11,Default,BL3-H vs Count,R1,BL3-H,Count,"255",Disabled,Disabled,"4,564,929.000000","---","4,749,991.0","---",Disabled,Disabled,"24.327051%","---","1.902985"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C12,Default,Global,All Events,Global,Global,"9,303",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","68.911111"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C12,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,193",Disabled,Disabled,"602,586.937500","7,131,834.000000","473,129.0","7,829,646.0",Disabled,Disabled,"101.708778%","24.527418%","23.651852"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,C12,Default,BL3-H vs Count,R1,BL3-H,Count,"569",Disabled,Disabled,"5,153,614.000000","---","5,509,266.0","---",Disabled,Disabled,"21.099873%","---","4.214815"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,D1,Default,Global,All Events,Global,Global,"14,581",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","108.813433"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,D1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,855",Disabled,Disabled,"725,244.125000","6,289,332.500000","425,232.0","7,375,399.0",Disabled,Disabled,"138.943645%","37.975803%","28.768657"
