Time.Point,Frag.ID,channel,round,chamber,surface_area,vol,Photo,Resp,PR
T0,N84,4,6,4,40.6682325,248,0.000346429,-0.000101575,3.410560166
T0,N85,2,4,2,66.3909075,248,7.03E-05,-4.42E-05,1.588550889
T0,N87,6,2,6,37.15239,248,8.80E-05,-0.000146528,0.600325957
T0,N89,6,1,6,30.5678775,248,0.000107627,-0.000132212,0.814052358
T1,N89,3,15,3,30.5678775,248,1.85E-05,-9.29E-05,0.19929955
T0,N92,3,6,3,18.9660075,248,0.000143264,-0.000106544,1.344643912
T0,N92,6,4,6,18.9660075,248,0.000176478,-0.000122573,1.439784638
T1,N92,6,19,6,18.9660075,248,0.000136484,-0.000125046,1.091474317
T0,N94,2,2,2,40.2867,248,0.000156927,-9.12E-05,1.720517849
T0,N94,3,8,3,40.2867,248,8.24E-05,-3.84E-05,2.146381765
T0,N96,4,8,4,24.8736075,248,0.000214168,-0.000112937,1.896353196
T1,N96,4,11,4,24.8736075,248,0.000189335,-0.00011542,1.640396731
TF,N96,4,8,4,24.8736075,248,0.000189841,-0.000115754,1.640042549
T0,N98,8,8,8,44.2620225,248,0.000381471,-0.000210561,1.811684937
T1,N98,3,10,3,44.2620225,248,0.000227284,-0.000201814,1.126208009
TF,N98,4,9,4,44.2620225,248,0.000313144,-0.000167575,1.868681659
