sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
113040	S2284	40935	28591	363	28581	361	6	1	4	1	27069	40	0	0	1758	478	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113114	SN11	65780	46846	523	46827	519	10	2	9	2	44793	37	0	0	2872	455	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
112970	S419	30078	22191	266	22191	266	0	0	0	0	20844	21	0	0	348	9	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
112995	S848	33057	24740	277	24733	276	0	0	7	1	23602	15	0	0	763	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113189	SN94	34549	25225	312	25216	310	0	0	9	2	24014	15	0	0	1505	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113199	SN208	46844	36074	410	36074	410	0	0	0	0	34782	16	0	0	1302	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113082	S3479	32936	22719	267	22719	267	0	0	0	0	21856	16	0	0	692	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113027	S1753	35990	25811	284	25811	284	0	0	0	0	24472	17	0	0	1003	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113012	S1226	35805	26935	306	26935	306	0	0	0	0	25298	28	0	0	582	22	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
113018	S1437	33791	24587	238	24587	238	0	0	0	0	23780	17	0	0	1428	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	acroporidae	montipora	capitata	999.00000000	999.00000000	NoData	NoData
