"","taxa_id","Species","stat","p_value","Domain","Phylum","Order","Class","Family","Genus"
"79","Otu00568","Pocillopora_acuta",0.426,0.039,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","uncultured"
"80","Otu00570","Pavona_varians",0.42,0.04,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"81","Otu00575","Pavona_varians",0.485,0.014,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"82","Otu00623","Porites_compressa",0.577,0.007,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisellaceae_unclassified"
"83","Otu00643","Pavona_varians",0.42,0.045,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Fodinicurvataceae","uncultured"
"84","Otu00660","Porites_compressa",0.527,0.005,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"85","Otu00662","Pocillopora_acuta",0.518,0.012,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","MD3-55"
"86","Otu00678","Montipora_capitata",0.447,0.017,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"87","Otu00695","Pocillopora_acuta",0.517,0.03,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleibacter"
"88","Otu00699","Montipora_capitata",0.447,0.021,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Parahaliea"
"89","Otu00743","Pavona_varians",0.42,0.038,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia"
"90","Otu00758","Pocillopora_acuta",0.426,0.025,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella"
"91","Otu00805","Pavona_varians",0.485,0.018,"Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas"
"92","Otu00830","Pocillopora_acuta",0.597,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionellaceae_ge"
"93","Otu00831","Porites_compressa",0.408,0.05,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisellaceae_ge"
"94","Otu00834","Pocillopora_acuta",0.48,0.039,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","uncultured"
"95","Otu00835","Pocillopora_acuta",0.426,0.027,"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiaceae","uncultured"
"96","Otu00840","Pavona_varians",0.485,0.023,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella"
"97","Otu00842","Pavona_varians",0.42,0.039,"Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae","Thalassobaculum"
"98","Otu00886","Pocillopora_acuta",0.468,0.019,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"99","Otu00893","Pavona_varians",0.56,0.001,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Rubritalea"
"100","Otu00919","Porites_compressa",0.527,0.005,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"101","Otu00929","Montipora_capitata",0.447,0.016,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured"
"102","Otu00955","Porites_compressa",0.577,0.002,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisellaceae_unclassified"
"103","Otu00960","Pocillopora_acuta",0.522,0.005,"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiaceae","uncultured"
"104","Otu00963","Montipora_capitata",0.516,0.006,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"105","Otu00966","Pavona_varians",0.452,0.043,"Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella"
"106","Otu00975","Pavona_varians",0.42,0.04,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Pseudohaliea"
"107","Otu00991","Pocillopora_acuta",0.426,0.025,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"108","Otu01020","Pavona_varians",0.472,0.028,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"109","Otu01035","Pocillopora_acuta",0.473,0.019,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Neisseriaceae","uncultured"
"110","Otu01047","Pocillopora_acuta",0.464,0.028,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium"
"111","Otu01081","Montipora_capitata",0.555,0.003,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gilvibacter"
"112","Otu01085","Montipora_capitata",0.447,0.027,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"113","Otu01100","Pocillopora_acuta",0.55,0.002,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia"
"114","Otu01119","Pocillopora_acuta",0.513,0.004,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified"
"115","Otu01124","Pocillopora_acuta",0.49,0.012,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"116","Otu01128","Pocillopora_acuta",0.522,0.004,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"117","Otu01141","Pavona_varians",0.42,0.035,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Ferrimonas"
"118","Otu01167","Pocillopora_acuta",0.522,0.004,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"119","Otu01174","Pocillopora_acuta",0.426,0.03,"Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","Francisella"
"120","Otu01176","Pavona_varians",0.42,0.034,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia"
"121","Otu01221","Pocillopora_acuta",0.426,0.033,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"122","Otu01227","Pocillopora_acuta",0.603,0.002,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"123","Otu01305","Montipora_capitata",0.447,0.02,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","uncultured"
"124","Otu01307","Pocillopora_acuta",0.5,0.012,"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Blastopirellula"
"125","Otu01317","Montipora_capitata",0.516,0.005,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella"
"126","Otu01413","Pocillopora_acuta",0.582,0.001,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius"
"127","Otu01449","Pocillopora_acuta",0.426,0.037,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Unknown_Family_unclassified"
"128","Otu01498","Pavona_varians",0.42,0.044,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella"
"129","Otu01523","Pocillopora_acuta",0.426,0.036,"Bacteria","Proteobacteria","Gammaproteobacteria","EC3","EC3_fa","EC3_ge"
"130","Otu01549","Pocillopora_acuta",0.426,0.027,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"131","Otu01651","Montipora_capitata",0.447,0.026,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna"
"132","Otu01658","Montipora_capitata",0.417,0.048,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"133","Otu01659","Pocillopora_acuta",0.426,0.029,"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","Candidatus_Fritschea"
"134","Otu01686","Montipora_capitata",0.447,0.018,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","uncultured"
"135","Otu01716","Montipora_capitata",0.429,0.033,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter"
"136","Otu01717","Montipora_capitata",0.447,0.029,"Bacteria","Planctomycetes","OM190","OM190_or","OM190_fa","OM190_ge"
"137","Otu01729","Pocillopora_acuta",0.426,0.031,"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Simkaniaceae","Simkaniaceae_unclassified"
"138","Otu01862","Montipora_capitata",0.447,0.009,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"139","Otu01921","Montipora_capitata",0.481,0.015,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured"
"140","Otu01964","Pocillopora_acuta",0.503,0.01,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"141","Otu02060","Pocillopora_acuta",0.426,0.025,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge"
"142","Otu02076","Pavona_varians",0.42,0.04,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"143","Otu02158","Pocillopora_acuta",0.426,0.027,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacteriaceae_unclassified"
"144","Otu02209","Pavona_varians",0.42,0.035,"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","AT-s3-44"
"145","Otu02286","Pocillopora_acuta",0.426,0.037,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"146","Otu02372","Pocillopora_acuta",0.423,0.043,"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionales_unclassified","Micavibrionales_unclassified"
"147","Otu02438","Pocillopora_acuta",0.426,0.038,"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiales_unclassified","Chlamydiales_unclassified"
"148","Otu02440","Pocillopora_acuta",0.426,0.027,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Thiogranum"
"149","Otu02502","Pocillopora_acuta",0.426,0.027,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thiomicrospiraceae","endosymbionts"
"150","Otu02513","Pocillopora_acuta",0.426,0.03,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"151","Otu02590","Pocillopora_acuta",0.426,0.029,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified"
"152","Otu02650","Pavona_varians",0.42,0.044,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"153","Otu02710","Pocillopora_acuta",0.426,0.03,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"154","Otu02807","Pocillopora_acuta",0.426,0.031,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
